no,district,landid,land,eligible,voters,turnout,cducsu1,cducsu2,spd1,spd2,dielinke1,dielinke2,greens1,greens2,pirates1,pirates2,afd1,afd2,area,population,popdensity,pop18_25,pop25_35,pop35_60,pop75_,abitur,localbusinesstax,unemployment,socialbenefits
1,Flensburg - Schleswig,1,Schleswig-Holstein,226944,162749,71.713287,41.92652489416218,37.69424082482842,36.69331301574817,32.19436064123282,4.568998887857989,5.581601115828668,7.675008755814168,9.667647727482196,2.1001666,1.9557724,3.2159951,4.0325899,2128,286,134,8,11,35,9,32,293,8,87
2,Nordfriesland - Dithmarschen Nord,1,Schleswig-Holstein,186177,131527,70.64621,49.17469416925802,42.86800428809293,31.71516114562029,29.33998342545637,3.537676674751192,4.358800854577387,6.435940909471059,8.018885856136002,1.8756605,1.8346043,3.0206726,3.7969391,2777,232,84,7,10,35,10,22,489,7,67
3,Steinburg - Dithmarschen Süd,1,Schleswig-Holstein,176731,126409,71.526215,44.82987761947329,41.45907332547525,33.60203782958492,29.66719141833256,3.883426021881353,4.972747193633364,5.051855484973379,7.503421433600456,2.1153557,2.1430435,3.5345585,4.3446274,2000,222,111,7,9,37,9,23,320,6,73
4,Rendsburg-Eckernförde,1,Schleswig-Holstein,198903,149583,75.203995,44.64076800171142,40.3448252809477,36.36576348916655,31.19204722461777,3.277110366819759,4.309981749262951,6.889820367287726,9.163474458996008,1.8424554,1.7515359,3.398782,4.3454137,2161,246,114,7,9,37,9,24,243,5,57
5,Kiel,1,Schleswig-Holstein,205243,146452,71.355415,32.72403244749133,29.97091197115779,42.51973342801737,34.31977712834239,5.204435582989649,6.84388058886188,9.856471745008603,13.92538169502636,2.4410729,2.6943982,2.7585831,3.6728756,143,264,1846,10,16,34,8,40,437,9,125
6,Plön - Neumünster,1,Schleswig-Holstein,174746,127093,72.730133,43.14399691564445,38.30502073284917,37.04767375071798,32.33380280581936,3.704373962374009,4.710723643316312,6.278079831304635,9.109077604588766,1.7050506,1.694822,3.8058743,4.6430569,1302,222,170,7,9,37,9,30,290,7,82
7,Pinneberg,1,Schleswig-Holstein,235610,179055,75.996353,44.94875876127447,40.21445924436626,35.74655832006925,30.92401775990617,3.901035994526821,4.976124654435788,6.324313758342409,8.539834129178185,1.8011225,1.8821033,3.7787273,4.7354164,664,306,459,7,10,37,9,36,428,5,59
8,Segeberg - Stormarn-Mitte,1,Schleswig-Holstein,244240,183250,75.028664,45.00463847203275,40.46984993178718,34.92387448840383,29.84502046384721,3.821555252387449,4.97244201909959,6.079672578444748,8.564802182810368,1.9350613,2.0114598,3.7538881,4.9298773,1333,305,228,7,10,38,8,31,433,4,51
9,Ostholstein - Stormarn-Nord,1,Schleswig-Holstein,180022,131939,73.290489,45.31109073132281,40.70441643486763,36.64496471854417,31.17652854728322,3.387171344333366,4.292135001781126,5.415381350472567,7.950643858146568,1.5613276,1.5999818,3.7115636,4.9045391,1533,223,145,6,8,36,11,29,261,7,63
10,Herzogtum Lauenburg - Stormarn-Süd,1,Schleswig-Holstein,241257,182982,75.845261,44.78801193560022,40.22417505546994,34.2924440655365,29.48049534926933,3.734793586254385,4.897749505415834,6.981014526018953,9.060454033730094,1.5892273,1.6564471,4.5638371,5.5797839,1349,302,222,6,9,37,10,32,478,5,57
11,Lübeck,1,Schleswig-Holstein,181923,124711,68.551529,36.00003207415545,33.8526673669524,40.18811492169897,33.74441709231743,5.341950589763533,6.39077547289333,7.597565571601543,10.93568329978911,2.2652373,2.4007506,3.3292973,4.2682681,406,229,563,8,12,34,10,32,361,9,127
12,Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I,13,Mecklenburg-Vorpommern,220166,148614,67.500885,38.33151654622041,39.75466645134375,25.47808416434522,21.24026000242238,21.80413689154454,20.09837565774422,3.5023618232468,4.399316349738249,2.2474329,1.7367139,,5.2054315,3641,268,73,7,12,39,9,36,291,9,109
13,Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I,13,Mecklenburg-Vorpommern,208976,137171,65.639595,42.22248142829024,41.49710944733216,22.38884312281751,19.42174366301915,22.46247384651275,20.9978785603371,3.38336820464967,3.971684977145315,2.1608067,1.5498903,,5.2037239,3909,253,64,6,11,39,10,32,186,9,95
14,Rostock - Landkreis Rostock II,13,Mecklenburg-Vorpommern,223885,152820,68.258255,34.45949483051957,37.42180342887057,17.99371809972517,18.98311739301139,30.205470488156,23.42101819133621,7.339353487763383,6.461196178510666,2.1351917,2.3478603,,5.3631725,992,269,271,9,14,35,9,40,285,11,125
15,Vorpommern-Rügen - Vorpommern-Greifswald I,13,Mecklenburg-Vorpommern,244880,157402,64.277199,55.36270187164077,44.27072082946849,13.77873216350491,14.37719978145132,18.96227493932733,20.28563804780117,3.003773776699152,4.683549128981842,2.3748109,2.2407594,,6.4541745,3450,293,85,8,12,37,10,31,170,14,124
